user_id,age,gender,location,income_level,education_level,number_of_children,child_age,investment_amount,investment_frequency,investment_options,app_sessions,app_usage_duration,features_used,goals_created,investment_decision,interactions_with_experts,topics_discussed,feedback_rating
20542,27,Female,"Visakhapatnam, India",Low,High School,5,14,19801,7,"['Mutual Funds', 'Mutual Funds', 'US ETFs']",16,41,"['Goal Setting', 'Expert Advice']",0,0,2,"['Investment Options', 'Risk Tolerance']",3
611364,36,Male,"Mumbai, India",High,High School,4,10,44250,7,"['Mutual Funds', 'Digital Gold', 'US ETFs']",12,25,"['Expert Advice', 'Goal Setting']",0,1,10,"['Risk Tolerance', 'Financial Planning']",3
506473,38,Female,"Visakhapatnam, India",Low,High School,4,10,12235,1,"['Digital Gold', 'Digital Gold', 'Mutual Funds']",11,14,"['Goal Setting', 'Goal Setting']",0,0,3,"['Risk Tolerance', 'Risk Tolerance']",4
38296,27,Female,"Pune, India",High,Undergraduate,1,15,1943,8,"['Digital Gold', 'US ETFs', 'Mutual Funds']",2,14,"['Expert Advice', 'Expert Advice']",1,1,0,"['Investment Options', 'Investment Options']",4
831794,28,Male,"Kanpur, India",Medium,Graduate,0,0,42792,3,"['US ETFs', 'Digital Gold', 'Mutual Funds']",3,33,"['Expert Advice', 'Goal Setting']",0,0,9,"['Financial Planning', 'Financial Planning']",3
510838,58,Male,"Indore, India",Low,High School,2,2,12974,9,"['Mutual Funds', 'US ETFs', 'US ETFs']",23,55,"['Expert Advice', 'Investment Tracking']",0,1,10,"['Investment Options', 'Risk Tolerance']",5
38663,43,Male,"Visakhapatnam, India",High,Graduate,4,9,26055,9,"['US ETFs', 'Digital Gold', 'Mutual Funds']",5,25,"['Expert Advice', 'Goal Setting']",0,1,5,"['Financial Planning', 'Investment Options']",5
453424,23,Female,"Lucknow, India",High,Graduate,1,6,26416,6,"['Mutual Funds', 'US ETFs', 'Digital Gold']",16,22,"['Expert Advice', 'Goal Setting']",1,0,3,"['Investment Options', 'Financial Planning']",4
879408,38,Female,"Delhi, India",Medium,Graduate,5,7,9638,9,"['Mutual Funds', 'US ETFs', 'Digital Gold']",29,35,"['Expert Advice', 'Investment Tracking']",0,0,8,"['Investment Options', 'Financial Planning']",4
746739,60,Female,"Hyderabad, India",Medium,Graduate,1,12,24358,1,"['US ETFs', 'US ETFs', 'Mutual Funds']",3,48,"['Investment Tracking', 'Goal Setting']",0,0,10,"['Risk Tolerance', 'Financial Planning']",5
331092,32,Female,"Thane, India",Medium,Graduate,1,9,11229,2,"['Mutual Funds', 'US ETFs', 'US ETFs']",1,28,"['Expert Advice', 'Goal Setting']",0,0,8,"['Financial Planning', 'Risk Tolerance']",4
